"","nail","rugo100_A","rugo100_var_A","avg_point_range_A100"
"1","1",0.596315737173059,0.0045900970634875,0.423539608512467
"2","2",0.718396061795986,0.00920713393082221,0.219661243622225
"3","3",0.724855220908431,0.0102361533084597,0.210799707876344
"4","4",0.628060188665271,0.014749785229336,0.208187737388936
"5","5",0.583227198968208,0.0263276736486084,0.275410339882575
"6","6",0.508000099443939,0.0427712182335805,0.27023566481437
"7","7",0.663493456958307,0.0204660663247135,0.169260284339541
"8","8",0.661003711601241,0.0163457565448628,0.248409757509816
"9","9",0.600228425758552,0.00597662314401748,0.261260833704883
"10","10",0.683326257324671,0.00450300958234973,0.252975586758842
"11","11",0.58777649668516,0.0132474223164944,0.233678745482455
"12","12",0.550218855217975,0.0167305301640105,0.275298884018937
"13","13",0.657683375983591,0.0105805592702333,0.244792704677071
"14","14",0.681949332216171,0.0275129528027398,0.26371918915283
"15","15",0.589502835650442,0.0136451275095108,0.290048538282909
"16","16",0.552560773514552,0.0193575193426129,0.365628428332492
"17","17",0.659672372986695,0.00403330654439762,0.189114099166319
"18","18",0.741177957034186,0.0197866597064053,0.19470806095403
"19","19",0.641029042648211,0.00776969356765598,0.33052442691746
"20","20",0.682624529080595,0.0192109033721006,0.201739191270822
"21","21",0.691647038380677,0.0066732070370796,0.216147299978792
"22","22",0.654991151897872,0.014730247340265,0.231830096255701
"23","23",0.606172586907238,0.0238066321435683,0.244330854611854
"24","24",0.45657090651094,0.0175792252319863,0.304764058307108
"25","25",0.671289316777594,0.00789288400825151,0.215845277767328
"26","26",0.51913245257095,0.0137462956268187,0.30462971689674
