nail,transect,point,x,y,z
0.00333,0,0,-33.82438508,100.9783403,-6.350407595
0.00333,0,1,-33.82467705,100.9753241,-6.348597284
0.00333,0,2,-33.82496901,100.9723079,-6.348597284
0.00333,0,3,-33.82526098,100.9692917,-6.349411477
0.00333,0,4,-33.82555294,100.9662755,-6.35144559
0.00333,0,5,-33.82584491,100.9632593,-6.353389747
0.00333,0,6,-33.82613688,100.9602431,-6.355082776
0.00333,0,7,-33.82642884,100.9572269,-6.355082776
0.00333,0,8,-33.82672081,100.9542107,-6.356424213
0.00333,0,9,-33.82701277,100.9511945,-6.356247562
0.00333,0,10,-33.82730474,100.9481783,-6.355430442
0.00333,0,11,-33.8275967,100.9451621,-6.355430442
0.00333,0,12,-33.82788867,100.9421459,-6.355293952
0.00333,0,13,-33.82818063,100.9391297,-6.353079867
0.00333,0,14,-33.8284726,100.9361135,-6.351943443
0.00333,0,15,-33.82876456,100.9330973,-6.351018332
0.00333,0,16,-33.82905653,100.9300811,-6.351491753
0.00333,0,17,-33.82934849,100.9270648,-6.352403851
0.00333,0,18,-33.82964046,100.9240486,-6.352403851
0.00333,0,19,-33.82993242,100.9210324,-6.354533491
0.00333,0,20,-33.83022439,100.9180162,-6.35427134
0.00333,0,21,-33.83051636,100.915,-6.355163325
0.00333,0,22,-33.83080832,100.9119838,-6.355160241
0.00333,0,23,-33.83110029,100.9089676,-6.355921708
0.00333,0,24,-33.83139225,100.9059514,-6.357355976
0.00333,0,25,-33.83168422,100.9029352,-6.357906863
0.00333,0,26,-33.83197618,100.899919,-6.358159455
0.00333,0,27,-33.83226815,100.8969028,-6.358608941
0.00333,0,28,-33.83256011,100.8938866,-6.359043036
0.00333,0,29,-33.83285208,100.8908704,-6.360482747
0.00333,0,30,-33.83314404,100.8878542,-6.361804906
0.00333,0,31,-33.83343601,100.884838,-6.362342323
0.00333,0,32,-33.83372797,100.8818218,-6.364533857
0.00333,0,33,-33.83401994,100.8788056,-6.366167847
0.00333,0,34,-33.83431191,100.8757894,-6.366984833
0.00333,0,35,-33.83460387,100.8727732,-6.369895049
0.00333,0,36,-33.83489584,100.869757,-6.372865379
0.00333,0,37,-33.8351878,100.8667407,-6.374586517
0.00333,0,38,-33.83547977,100.8637245,-6.376130547
0.00333,0,39,-33.83577173,100.8607083,-6.376174925
0.00333,0,40,-33.8360637,100.8576921,-6.375533305
0.00333,0,41,-33.83635566,100.8546759,-6.374604844
0.00333,0,42,-33.83664763,100.8516597,-6.374083382
0.00333,0,43,-33.83693959,100.8486435,-6.372816214
0.00333,0,44,-33.83723156,100.8456273,-6.371334293
0.00333,0,45,-33.83752352,100.8426111,-6.371010464
0.00333,0,46,-33.83781549,100.8395949,-6.370814815
0.00333,0,47,-33.83810745,100.8365787,-6.371246383
0.00333,0,48,-33.83839942,100.8335625,-6.369578828
0.00333,0,49,-33.83869139,100.8305463,-6.368131996
0.00333,0,50,-33.83898335,100.8275301,-6.368131996
0.00333,0,51,-33.83927532,100.8245139,-6.369998215
0.00333,0,52,-33.83956728,100.8214977,-6.369998215
0.00333,0,53,-33.83985925,100.8184815,-6.370839668
0.00333,0,54,-33.84015121,100.8154653,-6.371315406
0.00333,0,55,-33.84044318,100.8124491,-6.371976988
0.00333,0,56,-33.84073514,100.8094329,-6.373691404
0.00333,0,57,-33.84102711,100.8064166,-6.37682554
0.00333,0,58,-33.84131907,100.8034004,-6.377323104
0.00333,0,59,-33.84161104,100.8003842,-6.37684185
0.00333,0,60,-33.841903,100.797368,-6.377435847
0.00333,0,61,-33.84219497,100.7943518,-6.378107651
0.00333,0,62,-33.84248694,100.7913356,-6.377605632
0.00333,0,63,-33.8427789,100.7883194,-6.377979934
0.00333,0,64,-33.84307087,100.7853032,-6.377893871
0.00333,0,65,-33.84336283,100.782287,-6.377280762
0.00333,0,66,-33.8436548,100.7792708,-6.377184898
0.00333,0,67,-33.84394676,100.7762546,-6.377621417
0.00333,0,68,-33.84423873,100.7732384,-6.377557038
0.00333,0,69,-33.84453069,100.7702222,-6.376890798
0.00333,0,70,-33.84482266,100.767206,-6.376246606
0.00333,0,71,-33.84511462,100.7641898,-6.375145644
0.00333,0,72,-33.84540659,100.7611736,-6.373776151
0.00333,0,73,-33.84569855,100.7581574,-6.373458242
0.00333,0,74,-33.84599052,100.7551412,-6.372840752
0.00333,0,75,-33.84628248,100.752125,-6.372841127
0.00333,0,76,-33.84657445,100.7491088,-6.373101153
0.00333,0,77,-33.84686642,100.7460925,-6.37357401
0.00333,0,78,-33.84715838,100.7430763,-6.37413995
0.00333,0,79,-33.84745035,100.7400601,-6.374848359
0.00333,0,80,-33.84774231,100.7370439,-6.376754027
0.00333,0,81,-33.84803428,100.7340277,-6.378441484
0.00333,0,82,-33.84832624,100.7310115,-6.380250003
0.00333,0,83,-33.84861821,100.7279953,-6.383178495
0.00333,0,84,-33.84891017,100.7249791,-6.385451819
0.00333,0,85,-33.84920214,100.7219629,-6.385601383
0.00333,0,86,-33.8494941,100.7189467,-6.387031443
0.00333,0,87,-33.84978607,100.7159305,-6.388890095
0.00333,0,88,-33.85007803,100.7129143,-6.388530449
0.00333,0,89,-33.85037,100.7098981,-6.38880638
0.00333,0,90,-33.85066197,100.7068819,-6.388920784
0.00333,0,91,-33.85095393,100.7038657,-6.38971923
0.00333,0,92,-33.8512459,100.7008495,-6.390696641
0.00333,0,93,-33.85153786,100.6978333,-6.391576821
0.00333,0,94,-33.85182983,100.6948171,-6.391327017
0.00333,0,95,-33.85212179,100.6918009,-6.391899298
0.00333,0,96,-33.85241376,100.6887847,-6.377215305
0.00333,0,97,-33.85270572,100.6857684,-6.377215305
0.00333,0,98,-33.85299769,100.6827522,-6.377215305
0.00333,0,99,-33.85328965,100.679736,-6.381629916
0.00333,1,0,-33.83860434,100.9797167,-6.360971494
0.00333,1,1,-33.8388963,100.9767005,-6.361397602
0.00333,1,2,-33.83918827,100.9736843,-6.355302446
0.00333,1,3,-33.83948023,100.9706681,-6.355302446
0.00333,1,4,-33.8397722,100.9676519,-6.356280202
0.00333,1,5,-33.84006416,100.9646357,-6.359051418
0.00333,1,6,-33.84035613,100.9616195,-6.362219566
0.00333,1,7,-33.84064809,100.9586033,-6.36176008
0.00333,1,8,-33.84094006,100.9555871,-6.362936069
0.00333,1,9,-33.84123202,100.9525709,-6.364562527
0.00333,1,10,-33.84152399,100.9495547,-6.363818062
0.00333,1,11,-33.84181595,100.9465385,-6.364158421
0.00333,1,12,-33.84210792,100.9435223,-6.364858347
0.00333,1,13,-33.84239988,100.9405061,-6.365920054
0.00333,1,14,-33.84269185,100.9374899,-6.366202938
0.00333,1,15,-33.84298382,100.9344737,-6.364469019
0.00333,1,16,-33.84327578,100.9314575,-6.363961412
0.00333,1,17,-33.84356775,100.9284413,-6.363571551
0.00333,1,18,-33.84385971,100.9254251,-6.362800452
0.00333,1,19,-33.84415168,100.9224088,-6.361039668
0.00333,1,20,-33.84444364,100.9193926,-6.359774457
0.00333,1,21,-33.84473561,100.9163764,-6.359199561
0.00333,1,22,-33.84502757,100.9133602,-6.358139123
0.00333,1,23,-33.84531954,100.910344,-6.357525025
0.00333,1,24,-33.8456115,100.9073278,-6.357525025
0.00333,1,25,-33.84590347,100.9043116,-6.357996849
0.00333,1,26,-33.84619543,100.9012954,-6.359281207
0.00333,1,27,-33.8464874,100.8982792,-6.359728144
0.00333,1,28,-33.84677937,100.895263,-6.358544211
0.00333,1,29,-33.84707133,100.8922468,-6.363639842
0.00333,1,30,-33.8473633,100.8892306,-6.364842399
0.00333,1,31,-33.84765526,100.8862144,-6.364790048
0.00333,1,32,-33.84794723,100.8831982,-6.365866491
0.00333,1,33,-33.84823919,100.880182,-6.36739185
0.00333,1,34,-33.84853116,100.8771658,-6.369651459
0.00333,1,35,-33.84882312,100.8741496,-6.371960516
0.00333,1,36,-33.84911509,100.8711334,-6.372603153
0.00333,1,37,-33.84940705,100.8681172,-6.373391367
0.00333,1,38,-33.84969902,100.865101,-6.373244055
0.00333,1,39,-33.84999098,100.8620847,-6.373562424
0.00333,1,40,-33.85028295,100.8590685,-6.373562424
0.00333,1,41,-33.85057491,100.8560523,-6.373895695
0.00333,1,42,-33.85086688,100.8530361,-6.374311206
0.00333,1,43,-33.85115885,100.8500199,-6.374311206
0.00333,1,44,-33.85145081,100.8470037,-6.374310263
0.00333,1,45,-33.85174278,100.8439875,-6.373875519
0.00333,1,46,-33.85203474,100.8409713,-6.373557142
0.00333,1,47,-33.85232671,100.8379551,-6.372593911
0.00333,1,48,-33.85261867,100.8349389,-6.372593911
0.00333,1,49,-33.85291064,100.8319227,-6.37342769
0.00333,1,50,-33.8532026,100.8289065,-6.374182992
0.00333,1,51,-33.85349457,100.8258903,-6.374182992
0.00333,1,52,-33.85378653,100.8228741,-6.375789985
0.00333,1,53,-33.8540785,100.8198579,-6.376105579
0.00333,1,54,-33.85437046,100.8168417,-6.376243181
0.00333,1,55,-33.85466243,100.8138255,-6.377917
0.00333,1,56,-33.8549544,100.8108093,-6.378448553
0.00333,1,57,-33.85524636,100.8077931,-6.378889398
0.00333,1,58,-33.85553833,100.8047769,-6.379950254
0.00333,1,59,-33.85583029,100.8017606,-6.380624103
0.00333,1,60,-33.85612226,100.7987444,-6.381781422
0.00333,1,61,-33.85641422,100.7957282,-6.382127817
