nail 8,transect,point,x,y,z
0.00333,0,0,-28.05172872,99.88857213,-6.418725003
0.00333,0,1,-28.05201437,99.88555532,-6.416995219
0.00333,0,2,-28.05230003,99.88253851,-6.416995219
0.00333,0,3,-28.05258569,99.8795217,-6.416995219
0.00333,0,4,-28.05287134,99.87650489,-6.416797952
0.00333,0,5,-28.053157,99.87348808,-6.416078734
0.00333,0,6,-28.05344265,99.87047127,-6.415282214
0.00333,0,7,-28.05372831,99.86745446,-6.412008025
0.00333,0,8,-28.05401396,99.86443766,-6.407413993
0.00333,0,9,-28.05429962,99.86142085,-6.407413993
0.00333,0,10,-28.05458528,99.85840404,-6.405034238
0.00333,0,11,-28.05487093,99.85538723,-6.405026968
0.00333,0,12,-28.05515659,99.85237042,-6.404240144
0.00333,0,13,-28.05544224,99.84935361,-6.404240144
0.00333,0,14,-28.0557279,99.8463368,-6.415355374
0.00333,0,15,-28.05601356,99.84331999,-6.414129876
0.00333,0,16,-28.05629921,99.84030318,-6.413179655
0.00333,0,17,-28.05658487,99.83728637,-6.403596961
0.00333,0,18,-28.05687052,99.83426956,-6.40334624
0.00333,0,19,-28.05715618,99.83125276,-6.406563014
0.00333,0,20,-28.05744183,99.82823595,-6.413190446
0.00333,0,21,-28.05772749,99.82521914,-6.419985715
0.00333,0,22,-28.05801315,99.82220233,-6.422714406
0.00333,0,23,-28.0582988,99.81918552,-6.426266301
0.00333,0,24,-28.05858446,99.81616871,-6.43053092
0.00333,0,25,-28.05887011,99.8131519,-6.429793399
0.00333,0,26,-28.05915577,99.81013509,-6.423007703
0.00333,0,27,-28.05944143,99.80711828,-6.423007703
0.00333,0,28,-28.05972708,99.80410147,-6.431206731
0.00333,0,29,-28.06001274,99.80108466,-6.4277296
0.00333,0,30,-28.06029839,99.79806786,-6.426729526
0.00333,0,31,-28.06058405,99.79505105,-6.424628975
0.00333,0,32,-28.0608697,99.79203424,-6.423122695
0.00333,0,33,-28.06115536,99.78901743,-6.42303483
0.00333,0,34,-28.06144102,99.78600062,-6.42303483
0.00333,0,35,-28.06172667,99.78298381,-6.424137285
0.00333,0,36,-28.06201233,99.779967,-6.424387897
0.00333,0,37,-28.06229798,99.77695019,-6.424580324
0.00333,0,38,-28.06258364,99.77393338,-6.426884986
0.00333,0,39,-28.0628693,99.77091657,-6.428108732
0.00333,0,40,-28.06315495,99.76789976,-6.43218432
0.00333,0,41,-28.06344061,99.76488296,-6.433032264
0.00333,0,42,-28.06372626,99.76186615,-6.439010617
0.00333,0,43,-28.06401192,99.75884934,-6.440641819
0.00333,0,44,-28.06429757,99.75583253,-6.441729149
0.00333,0,45,-28.06458323,99.75281572,-6.443228749
0.00333,0,46,-28.06486889,99.74979891,-6.444441848
0.00333,0,47,-28.06515454,99.7467821,-6.445448014
0.00333,0,48,-28.0654402,99.74376529,-6.446068097
0.00333,0,49,-28.06572585,99.74074848,-6.445483244
0.00333,0,50,-28.06601151,99.73773167,-6.445165271
0.00333,0,51,-28.06629716,99.73471486,-6.444555318
0.00333,0,52,-28.06658282,99.73169805,-6.44485464
0.00333,0,53,-28.06686848,99.72868125,-6.445416979
0.00333,0,54,-28.06715413,99.72566444,-6.444589428
0.00333,0,55,-28.06743979,99.72264763,-6.443675095
0.00333,0,56,-28.06772544,99.71963082,-6.445733888
0.00333,0,57,-28.0680111,99.71661401,-6.446003522
0.00333,0,58,-28.06829676,99.7135972,-6.445565021
0.00333,0,59,-28.06858241,99.71058039,-6.445565021
0.00333,0,60,-28.06886807,99.70756358,-6.446558343
0.00333,0,61,-28.06915372,99.70454677,-6.446414533
0.00333,0,62,-28.06943938,99.70152996,-6.446813756
0.00333,0,63,-28.06972503,99.69851315,-6.447484729
