nail 9 ,transect,point,x,y,z
0.00333,0,0,-29.18899594,99.98426063,-6.545812179
0.00333,0,1,-29.1892816,99.98124382,-6.537719764
0.00333,0,2,-29.18956725,99.97822701,-6.537719764
0.00333,0,3,-29.18985291,99.9752102,-6.537625105
0.00333,0,4,-29.19013857,99.97219339,-6.532173258
0.00333,0,5,-29.19042422,99.96917658,-6.527918179
0.00333,0,6,-29.19070988,99.96615977,-6.523546135
0.00333,0,7,-29.19099553,99.96314296,-6.523546135
0.00333,0,8,-29.19128119,99.96012615,-6.52418503
0.00333,0,9,-29.19156685,99.95710934,-6.507301965
0.00333,0,10,-29.1918525,99.95409253,-6.507301965
0.00333,0,11,-29.19213816,99.95107573,-6.524462015
0.00333,0,12,-29.19242381,99.94805892,-6.522190996
0.00333,0,13,-29.19270947,99.94504211,-6.517920582
0.00333,0,14,-29.19299512,99.9420253,-6.518215841
0.00333,0,15,-29.19328078,99.93900849,-6.514971947
0.00333,0,16,-29.19356644,99.93599168,-6.514971947
0.00333,0,17,-29.19385209,99.93297487,-6.530675994
0.00333,0,18,-29.19413775,99.92995806,-6.525522475
0.00333,0,19,-29.1944234,99.92694125,-6.522728495
0.00333,0,20,-29.19470906,99.92392444,-6.523026439
0.00333,0,21,-29.19499471,99.92090763,-6.52202466
0.00333,0,22,-29.19528037,99.91789082,-6.520105136
0.00333,0,23,-29.19556603,99.91487402,-6.519896079
0.00333,0,24,-29.19585168,99.91185721,-6.519823348
0.00333,0,25,-29.19613734,99.9088404,-6.519470612
0.00333,0,26,-29.19642299,99.90582359,-6.518948326
0.00333,0,27,-29.19670865,99.90280678,-6.518366593
0.00333,0,28,-29.19699431,99.89978997,-6.517956993
0.00333,0,29,-29.19727996,99.89677316,-6.517322045
0.00333,0,30,-29.19756562,99.89375635,-6.516986982
0.00333,0,31,-29.19785127,99.89073954,-6.516634853
0.00333,0,32,-29.19813693,99.88772273,-6.517445357
0.00333,0,33,-29.19842258,99.88470592,-6.518402132
0.00333,0,34,-29.19870824,99.88168912,-6.52029817
0.00333,0,35,-29.1989939,99.87867231,-6.591678615
0.00333,0,36,-29.19927955,99.8756555,-6.592689034
0.00333,0,37,-29.19956521,99.87263869,-6.589120192
0.00333,0,38,-29.19985086,99.86962188,-6.587541246
0.00333,0,39,-29.20013652,99.86660507,-6.584513028
0.00333,0,40,-29.20042218,99.86358826,-6.583269396
0.00333,0,41,-29.20070783,99.86057145,-6.581319656
0.00333,0,42,-29.20099349,99.85755464,-6.581206046
0.00333,0,43,-29.20127914,99.85453783,-6.580730947
0.00333,0,44,-29.2015648,99.85152102,-6.579148161
0.00333,0,45,-29.20185045,99.84850422,-6.57854516
0.00333,0,46,-29.20213611,99.84548741,-6.578317282
0.00333,0,47,-29.20242177,99.8424706,-6.53967883
0.00333,0,48,-29.20270742,99.83945379,-6.538613879
0.00333,0,49,-29.20299308,99.83643698,-6.520064431
0.00333,0,50,-29.20327873,99.83342017,-6.517503583
0.00333,0,51,-29.20356439,99.83040336,-6.51620639
0.00333,0,52,-29.20385005,99.82738655,-6.51392314
0.00333,0,53,-29.2041357,99.82436974,-6.508110905
0.00333,0,54,-29.20442136,99.82135293,-6.508110905
0.00333,0,55,-29.20470701,99.81833612,-6.519551587
0.00333,0,56,-29.20499267,99.81531932,-6.518367436
0.00333,0,57,-29.20527832,99.81230251,-6.516201272
0.00333,0,58,-29.20556398,99.8092857,-6.514736722
0.00333,0,59,-29.20584964,99.80626889,-6.512167247
0.00333,0,60,-29.20613529,99.80325208,-6.507208495
0.00333,0,61,-29.20642095,99.80023527,-6.502636628
0.00333,0,62,-29.2067066,99.79721846,-6.422073606
0.00333,0,63,-29.20699226,99.79420165,-6.502302033
0.00333,0,64,-29.20727791,99.79118484,-6.442035619
0.00333,0,65,-29.20756357,99.78816803,-6.441198604
0.00333,0,66,-29.20784923,99.78515122,-6.441198604
0.00333,0,67,-29.20813488,99.78213441,-6.467761776
0.00333,0,68,-29.20842054,99.77911761,-6.466547814
0.00333,0,69,-29.20870619,99.7761008,-6.466547814
0.00333,0,70,-29.20899185,99.77308399,-6.468109829
0.00333,0,71,-29.20927751,99.77006718,-6.468182754
0.00333,0,72,-29.20956316,99.76705037,-6.464719005
0.00333,0,73,-29.20984882,99.76403356,-6.463850864
0.00333,0,74,-29.21013447,99.76101675,-6.463078199
0.00333,0,75,-29.21042013,99.75799994,-6.466921015
0.00333,0,76,-29.21070578,99.75498313,-6.512394468
0.00333,0,77,-29.21099144,99.75196632,-6.512394468
0.00333,0,78,-29.2112771,99.74894951,-6.512112975
0.00333,0,79,-29.21156275,99.74593271,-6.511520824
0.00333,0,80,-29.21184841,99.7429159,-6.511426917
0.00333,0,81,-29.21213406,99.73989909,-6.511426917
0.00333,0,82,-29.21241972,99.73688228,-6.5112376
0.00333,0,83,-29.21270538,99.73386547,-6.509522589
0.00333,0,84,-29.21299103,99.73084866,-6.504572146
0.00333,0,85,-29.21327669,99.72783185,-6.503236385
0.00333,0,86,-29.21356234,99.72481504,-6.503236385
0.00333,0,87,-29.213848,99.72179823,-6.505152232
0.00333,0,88,-29.21413365,99.71878142,-6.508090606
0.00333,0,89,-29.21441931,99.71576461,-6.510415943
0.00333,0,90,-29.21470497,99.71274781,-6.506875591
0.00333,0,91,-29.21499062,99.709731,-6.504569046
0.00333,0,92,-29.21527628,99.70671419,-6.504569046
0.00333,0,93,-29.21556193,99.70369738,-6.510257952
0.00333,0,94,-29.21584759,99.70068057,-6.509264852
0.00333,0,95,-29.21613324,99.69766376,-6.5093386
0.00333,0,96,-29.2164189,99.69464695,-6.504079
0.00333,0,97,-29.21670456,99.69163014,-6.501669882
0.00333,0,98,-29.21699021,99.68861333,-6.500593992
0.00333,0,99,-29.21727587,99.68559652,-6.499517296
0.00333,1,0,-29.20321804,99.98560729,-6.570995106
0.00333,1,1,-29.2035037,99.98259048,-6.54703785
0.00333,1,2,-29.20378935,99.97957367,-6.536148388
0.00333,1,3,-29.20407501,99.97655686,-6.536148388
0.00333,1,4,-29.20436067,99.97354005,-6.535406918
0.00333,1,5,-29.20464632,99.97052324,-6.536334085
0.00333,1,6,-29.20493198,99.96750643,-6.538212377
0.00333,1,7,-29.20521763,99.96448962,-6.53971628
0.00333,1,8,-29.20550329,99.96147282,-6.539978977
0.00333,1,9,-29.20578895,99.95845601,-6.540953889
0.00333,1,10,-29.2060746,99.9554392,-6.540896989
0.00333,1,11,-29.20636026,99.95242239,-6.538864374
0.00333,1,12,-29.20664591,99.94940558,-6.540347399
0.00333,1,13,-29.20693157,99.94638877,-6.540119216
0.00333,1,14,-29.20721722,99.94337196,-6.540827596
0.00333,1,15,-29.20750288,99.94035515,-6.542078238
0.00333,1,16,-29.20778854,99.93733834,-6.54230293
0.00333,1,17,-29.20807419,99.93432153,-6.543072988
0.00333,1,18,-29.20835985,99.93130472,-6.542583507
