site,site_code,date,scale_cm,nail,sediment_depth,turf_length,rugo_mean,slope_mean,slope_var,sapr,std_curve,plan_curve,tpi
Fortlauderdale,FTL,20250721,25,1,2,5,-0.6543118464841967,-1.070573486039015,17.60052196,-0.49299542181046946,0.18974765576913064,0.2328792618568875,0.05498178002942024
Fortlauderdale,FTL,20250721,25,2,3,2,-0.6521325716890886,-1.1253678199761477,17.82999402,-0.48433697124243946,0.37603188672906857,0.22843866753150407,0.052288128943018354
Fortlauderdale,FTL,20250721,25,3,1,3,-0.6942055542040867,-2.57294510646662,13.50841951,-0.5440630841128742,-0.2905343658666756,0.19324843530316327,-0.030243374653237426
Fortlauderdale,FTL,20250721,25,4,2,3,-0.6491977925616627,-1.560856454011489,16.92956111,-0.5034147135513398,0.0799877785541633,0.24636665925322865,0.03689806198635378
Fortlauderdale,FTL,20250721,25,5,3,4,-0.5909338423342536,-1.1851865108002817,17.37303316,-0.490620507937748,-0.6823612348129274,0.22020647971528634,-0.13157112375677607
Fortlauderdale,FTL,20250721,25,6,2,3,-0.6120524854954522,-1.576294878329758,16.18161201,-0.5164599402581177,-0.20212398927051592,0.21870928654641936,-0.030657563689228676
Fortlauderdale,FTL,20250721,25,7,4,4,-0.6030973753901087,-1.1106386170021356,17.59939562,-0.4802927285991924,0.11208689955423294,0.21464595586456384,0.025075752819622762
Fortlauderdale,FTL,20250721,25,8,5,4,-0.6088472415914017,-1.3283843444095995,17.75718704,-0.4937186773947438,0.40264984839570495,0.2199207039034526,0.0786696378776286
Fortlauderdale,FTL,20250721,25,9,5,3,-0.6975038198269587,-0.7082550858146376,18.62430651,-0.45345824026275316,-1.553038932724957,0.28180244948205074,-0.29068400390855204
Fortlauderdale,FTL,20250721,25,10,4,5,-0.38349431314900134,-1.0985186094612365,18.10433117,-0.4784963628288974,-0.27239581059650547,0.23137871598824486,-0.001409189585788603
Fortlauderdale,FTL,20250721,25,11,4,5,-0.5369343662837419,-1.949059356621238,16.33269088,-0.51144590745239,-0.46258434308739366,0.19657625586615599,-0.0702215063292603
Fortlauderdale,FTL,20250721,25,12,5,5,-0.6229983378311824,-1.1497227013727,17.94381995,-0.4683072416248872,0.4961884438445029,0.22759845219273248,0.11619058456351862
Fortlauderdale,FTL,20250721,25,13,1,4,-0.5869218571109228,-1.2228691950070998,17.28895989,-0.4745978164418169,-4.4160198759062155,0.24332399486103112,-0.6755633339583401
Fortlauderdale,FTL,20250721,25,14,2,2,-0.6153380497773218,-0.8089426469698069,18.58797941,-0.46861884919486796,-0.5034839761504183,0.256997924987856,-0.0868843653836473
Fortlauderdale,FTL,20250721,25,15,3,4,-0.6748659051345789,-1.320394678864975,17.79918866,-0.4694256475579053,-0.4928569416982759,0.2759761930738036,-0.03520951826300202
Fortlauderdale,FTL,20250721,25,16,2,5,-0.6325826302796219,-0.70265089177229,19.21719952,-0.45018427361029223,-0.019053334690163296,0.27309972665320675,0.003538942063614467
Fortlauderdale,FTL,20250721,25,17,1,3,-0.673721736043708,-1.7812557448292194,16.17231212,-0.5182506406477274,0.09696339478222289,0.24076710012660843,-5.88719793476815e-4
Fortlauderdale,FTL,20250721,25,18,2,8,-0.7134080129930517,-0.8738333638918375,20.00839949,-0.379308872886096,0.24110754670825316,0.3778860449333802,-0.04563486396236076
Fortlauderdale,FTL,20250721,25,19,2,3,-0.6615762613841895,-0.7474265901785988,19.31990765,-0.43231821611686355,1.944396422740514,0.14582534749015477,0.3794097082294003
Fortlauderdale,FTL,20250721,25,20,6,7,-0.6551086646179003,-0.6650844774711386,19.12004331,-0.4381077578213449,0.17057765203190323,0.1992392513137453,0.07499996853402481
Fortlauderdale,FTL,20250721,25,21,5,4,-0.6755917637714267,-1.6668968213926676,16.57285996,-0.48973915772748267,-0.04423344203717542,0.2618211007578522,0.04659359863912217
